Distrecorr,Sitio,TS,Sexo,DOSEL,Temporada,HOJA,HUM,ID
21.25,Conservado,0.8441761977548748,Macho,1.2162410056419943,Lluvias,1.3245978115004264,0.4354555203383683,23
20.3,Conservado,0.035761640835677025,Macho,0.6474569689125643,Lluvias,0.7907674317243599,0.4354555203383683,23
6.17,Conservado,-0.9343358274673608,Macho,0.5337001615666783,Lluvias,0.2569370519482936,0.7079335359886927,23
6.67,Conservado,0.46691607119258294,Macho,0.5337001615666783,Lluvias,1.3245978115004264,0.7079335359886927,24
15.83,Conservado,0.7902818939602609,Macho,0.6474569689125643,Lluvias,1.3245978115004264,0.9804115516390172,24
23.63,Conservado,-0.7726529160835208,Macho,0.7232948404764876,Lluvias,1.3245978115004264,-0.5636305370461545,24
5.71,Conservado,0.14355024842490302,Macho,0.3441054826568689,Lluvias,0.7907674317243599,0.7987595412054675,24
26.35,Conservado,1.2753306281117807,Hembra,1.1783220698600316,Lluvias,1.3245978115004264,0.7079335359886927,25
1.06,Conservado,0.46691607119258294,Hembra,0.41994335422079226,Lluvias,0.7907674317243599,0.7079335359886927,25
23.3,Conservado,-0.12592127054816293,Hembra,0.571619097348641,Lluvias,1.3245978115004264,0.5262815255551431,26
2.45,Conservado,0.520810374987195,Hembra,0.6095380331306016,Lluvias,1.3245978115004264,0.3446295151215935,26
9.42,Conservado,0.14355024842490302,Macho,0.7232948404764876,Lluvias,0.2569370519482936,0.9804115516390172,27
5.63,Perturbado,0.035761640835677025,Hembra,1.140403134078069,Lluvias,0.2569370519482936,-1.0177605631300286,29
47.98,Perturbado,0.19744455221951698,Hembra,0.45786229000275497,Lluvias,-0.27689332782777276,-1.5627165944306773,29
21.03,Perturbado,1.5986964508794588,Hembra,-0.6038679118921799,Lluvias,-1.3445540873799056,0.9804115516390172,29
9.19,Perturbado,1.9220622736471387,Macho,-0.6038679118921799,Lluvias,-1.3445540873799056,-1.1085865683468035,30
13.93,Perturbado,1.6525907546740728,Macho,-0.6038679118921799,Lluvias,-0.8107237076038392,-1.5627165944306773,30
